ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
4189,2,2,0,4,40.50816145,40.50955849,-74.24235702,-74.24051415
4190,5,4,1,4,40.50816145,40.50955849,-74.24051415,-74.23867128
4191,14,3,11,0,40.50816145,40.50955849,-74.23867128,-74.23682842
4192,5,2,2,2,40.50816145,40.50955849,-74.23682842,-74.23498555
4193,3,1,2,0,40.50816145,40.50955849,-74.23498555,-74.23314269
4194,3,0,3,0,40.50816145,40.50955849,-74.23314269,-74.23129982
4195,5,1,2,0,40.50816145,40.50955849,-74.23129982,-74.22945696
4196,4,3,1,4,40.50816145,40.50955849,-74.22945696,-74.22761409
4198,2,2,0,4,40.50816145,40.50955849,-74.22577123,-74.22392836
4199,14,7,1,4,40.50816145,40.50955849,-74.22392836,-74.22208549
4200,1,0,1,0,40.50816145,40.50955849,-74.22208549,-74.22024263
4505,2,1,1,2,40.50955849,40.51095552,-74.25157134,-74.24972848
4506,28,7,17,0,40.50955849,40.51095552,-74.24972848,-74.24788561
4507,4,1,1,2,40.50955849,40.51095552,-74.24788561,-74.24604275
4508,19,9,7,2,40.50955849,40.51095552,-74.24604275,-74.24419988
4509,6,5,1,4,40.50955849,40.51095552,-74.24419988,-74.24235702
4510,5,0,5,0,40.50955849,40.51095552,-74.24235702,-74.24051415
4511,1,0,1,0,40.50955849,40.51095552,-74.24051415,-74.23867128
4512,5,4,1,4,40.50955849,40.51095552,-74.23867128,-74.23682842
4513,1,1,0,4,40.50955849,40.51095552,-74.23682842,-74.23498555
4514,2,2,0,4,40.50955849,40.51095552,-74.23498555,-74.23314269
4516,1,0,1,0,40.50955849,40.51095552,-74.23129982,-74.22945696
4523,2,0,1,0,40.50955849,40.51095552,-74.21839976,-74.2165569
4825,2,1,1,2,40.51095552,40.51235256,-74.25341421,-74.25157134
4826,44517,16425,18757,2,40.51095552,40.51235256,-74.25157134,-74.24972848
4827,36,14,11,2,40.51095552,40.51235256,-74.24972848,-74.24788561
